# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6099289334419
#
# Children      Self  Command          Shared Object             Symbol                                                                                                                                                                           
# ........  ........  ...............  ........................  .................................................................................................................................................................................
#
     0.00%     0.00%  gmain            [kernel.kallsyms]         [k] __alloc_pages
     0.00%     0.00%  gmain            [kernel.kallsyms]         [k] get_page_from_freelist
     0.00%     0.00%  gmain            [kernel.kallsyms]         [k] rmqueue
     0.00%     0.00%  gmain            [kernel.kallsyms]         [k] rmqueue_bulk
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c4862c
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ca72c2
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x00000000000246bd
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] fill_pte
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN9Field_num13save_in_fieldEP5Field
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ee7bea
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000cacee0
     0.00%     0.00%  kworker/20:2-mm  [kernel.kallsyms]         [k] native_smp_send_reschedule
     0.00%     0.00%  ksoftirqd/2      [kernel.kallsyms]         [k] __update_load_avg_se
     0.00%     0.00%  mariadbd         libc-2.28.so              [.] _IO_default_xsputn
     0.00%     0.00%  sshd             [kernel.kallsyms]         [k] validate_xmit_vlan
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZThn200_N22Item_func_get_user_var9set_valueEP3THDP11sp_rcontextPP4Item
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d706aa
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d90d59
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ca71b5
     0.00%     0.00%  kworker/5:0      [kernel.kallsyms]         [k] refresh_cpu_vm_stats
     0.00%     0.00%  kworker/5:0      [kernel.kallsyms]         [k] vmstat_update
     0.00%     0.00%  kworker/20:2-mm  [kernel.kallsyms]         [k] __softirqentry_text_start
     0.00%     0.00%  kworker/20:2-mm  [kernel.kallsyms]         [k] run_rebalance_domains
     0.00%     0.00%  kworker/20:2-mm  [kernel.kallsyms]         [k] update_blocked_averages
     0.00%     0.00%  tclsh8.6         libc-2.28.so              [.] __GI_____strtoull_l_internal
     0.00%     0.00%  tclsh8.6         libtcl8.6.so              [.] AppendUtfToUtfRep.part.2
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d70c63
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d4cc05
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c4382b
     0.00%     0.00%  sssd_nss         sssd_nss                  [.] 0x000000000001d788
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000cb2a81
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZNK27Type_handler_decimal_result19set_comparator_funcEP3THDP14Arg_comparator
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c8aa61
     0.00%     0.00%  kworker/6:1H-kb  [kernel.kallsyms]         [k] cpuacct_charge
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ca7451
     0.00%     0.00%  kworker/15:2-ev  [kernel.kallsyms]         [k] __rdgsbase_inactive
     0.00%     0.00%  ksoftirqd/4      [kernel.kallsyms]         [k] update_sg_lb_stats
     0.00%     0.00%  ksoftirqd/4      [kernel.kallsyms]         [k] __softirqentry_text_start
     0.00%     0.00%  ksoftirqd/4      [kernel.kallsyms]         [k] find_busiest_group
     0.00%     0.00%  ksoftirqd/4      [kernel.kallsyms]         [k] load_balance
     0.00%     0.00%  ksoftirqd/4      [kernel.kallsyms]         [k] rebalance_domains
     0.00%     0.00%  ksoftirqd/4      [kernel.kallsyms]         [k] run_ksoftirqd
     0.00%     0.00%  ksoftirqd/4      [kernel.kallsyms]         [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] __x64_sys_getsockname
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000793b96
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d9cdf5
     0.00%     0.00%  kworker/2:2-eve  [kernel.kallsyms]         [k] refresh_cpu_vm_stats
     0.00%     0.00%  kworker/2:2-eve  [kernel.kallsyms]         [k] vmstat_update
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]         [k] error_entry
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]         [k] __find_get_block
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]         [k] __find_get_block_slow
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]         [k] __getblk_gfp
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]         [k] __read_extent_tree_block
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]         [k] mapping_get_entry
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]         [k] pagecache_get_page
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]         [k] xas_load
     0.00%     0.00%  kworker/13:3-ev  [kernel.kallsyms]         [k] fput
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000a96956
     0.00%     0.00%  kworker/0:6      [kernel.kallsyms]         [k] update_sg_lb_stats
     0.00%     0.00%  kworker/0:6      [kernel.kallsyms]         [k] find_busiest_group
     0.00%     0.00%  kworker/0:6      [kernel.kallsyms]         [k] load_balance
     0.00%     0.00%  kworker/0:6      [kernel.kallsyms]         [k] newidle_balance
     0.00%     0.00%  kworker/0:6      [kernel.kallsyms]         [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  jbd2/nvme3n1p4-  [kernel.kallsyms]         [k] jbd2_journal_file_buffer
     0.00%     0.00%  rhsmcertd-worke  [kernel.kallsyms]         [k] crc_40
     0.00%     0.00%  rhsmcertd-worke  [kernel.kallsyms]         [k] ext4_dirblock_csum_verify
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x00000000008eacbf
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000db0da8
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] pte_alloc_one
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] __pte_alloc
     0.00%     0.00%  kworker/11:1H-k  [kernel.kallsyms]         [k] _raw_spin_lock
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c80322
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d195c2
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d03704
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c83b70
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] rcu_segcblist_advance
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ca42e6
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c4b383
     0.00%     0.00%  kworker/7:1      [kernel.kallsyms]         [k] wq_worker_running
     0.00%     0.00%  kworker/7:2-eve  [kernel.kallsyms]         [k] pwq_dec_nr_in_flight
     0.00%     0.00%  tclsh8.6         libtcl8.6.so              [.] Tcl_GetEncodingName
     0.00%     0.00%  kworker/20:1H-k  [kernel.kallsyms]         [k] dma_map_page_attrs
     0.00%     0.00%  kworker/8:1-eve  [kernel.kallsyms]         [k] select_idle_core
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d18553
     0.00%     0.00%  rhsmcertd-worke  libpython3.6m.so.1.0      [.] PyType_GenericAlloc
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN13Protocol_text10store_nullEv
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d79719
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] blk_account_io_done
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] __ext4_ext_dirty
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] crc32c_pcl_intel_update
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] crc_8
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] ext4_extent_block_csum_set
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d9bb97
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c3d283
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] selinux_ip_postroute
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] ip_output
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d7260f
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] smp_call_function_many_cond
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] flush_tlb_mm_range
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] on_each_cpu_cond_mask
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] pmdp_clear_flush_young
     0.00%     0.00%  kworker/18:2-ev  [kernel.kallsyms]         [k] update_curr
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] io_schedule_timeout
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] schedule_timeout
     0.00%     0.00%  kworker/10:0     [kernel.kallsyms]         [k] available_idle_cpu
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ef1bfb
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d727bc
     0.00%     0.00%  kworker/29:1H-k  [kernel.kallsyms]         [k] __irqentry_text_start
     0.00%     0.00%  kworker/29:1H-k  [kernel.kallsyms]         [k] blk_mq_find_and_get_req
     0.00%     0.00%  kworker/29:1H-k  [kernel.kallsyms]         [k] bt_iter
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9db30
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9e684
     0.00%     0.00%  kworker/1:3-eve  [kernel.kallsyms]         [k] llist_add_batch
     0.00%     0.00%  kworker/1:3-eve  [kernel.kallsyms]         [k] __smp_call_single_queue
     0.00%     0.00%  kworker/1:3-eve  [kernel.kallsyms]         [k] ttwu_queue_wakelist
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d13dd7
     0.00%     0.00%  kworker/19:1H-k  [kernel.kallsyms]         [k] __rq_qos_issue
     0.00%     0.00%  kworker/19:1H-k  [kernel.kallsyms]         [k] blk_mq_start_request
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] vmpressure
     0.00%     0.00%  kworker/10:1-ev  [kernel.kallsyms]         [k] put_reqs_available
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c86a5c
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000df2a74
     0.00%     0.00%  mariadbd         [vdso]                    [.] 0x00000000000008ac
     0.00%     0.00%  kworker/11:1H-k  [kernel.kallsyms]         [k] blk_mq_request_bypass_insert
     0.00%     0.00%  kworker/11:1H-k  [kernel.kallsyms]         [k] blk_mq_sched_insert_request
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] blk_mq_get_tag
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] __blk_mq_alloc_request
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] __submit_bio_noacct_mq
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] blk_mq_submit_bio
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] ext4_mpage_readpages
     0.00%     0.00%  systemd          [kernel.kallsyms]         [k] read_pages
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] vma_wants_writenotify
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] tcp_update_skb_after_send
     0.00%     0.00%  tclsh8.6         libtcl8.6.so              [.] emptyreachable
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d10eb4
     0.00%     0.00%  kworker/10:0     [kernel.kallsyms]         [k] _raw_spin_lock_irq
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000dd3dfb
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x0000000000023f3b
     0.00%     0.00%  jbd2/nvme3n1p4-  [kernel.kallsyms]         [k] blk_attempt_bio_merge.part.0
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d91967
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] security_cred_free
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x000000000079c1f4
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d33de7
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] tcp_in_window
     0.00%     0.00%  kworker/14:2-ev  [kernel.kallsyms]         [k] update_min_vruntime
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000cad2a9
     0.00%     0.00%  kworker/21:2     [kernel.kallsyms]         [k] send_call_function_single_ipi
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x00000000000255f1
     0.00%     0.00%  migration/5      [kernel.kallsyms]         [k] pick_next_task_fair
     0.00%     0.00%  migration/5      [kernel.kallsyms]         [k] __schedule
     0.00%     0.00%  migration/5      [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  migration/5      [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  migration/5      [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  migration/5      [kernel.kallsyms]         [k] smpboot_thread_fn
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] selinux_socket_accept
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] security_socket_accept
     0.00%     0.00%  kworker/10:1H-k  [kernel.kallsyms]         [k] dma_map_page_attrs
     0.00%     0.00%  kworker/23:1-ev  [kernel.kallsyms]         [k] put_prev_entity
     0.00%     0.00%  tclsh8.6         libtcl8.6.so              [.] TclCompileExpr
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] __blk_mq_sched_dispatch_requests
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] blk_mq_dispatch_rq_list
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] blk_mq_sched_dispatch_requests
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] complete
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] queuecommand
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] queuecommand_lck
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] scsi_dispatch_cmd
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] scsi_queue_rq
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] swake_up_locked
     0.00%     0.00%  migration/2      [kernel.kallsyms]         [k] put_prev_task_stop
     0.00%     0.00%  migration/2      [kernel.kallsyms]         [k] __schedule
     0.00%     0.00%  migration/2      [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  migration/2      [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  migration/2      [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  migration/2      [kernel.kallsyms]         [k] smpboot_thread_fn
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x0000000000023f0e
     0.00%     0.00%  tclsh8.6         libtcl8.6.so              [.] TclpOpenFileChannel
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] __count_memcg_events
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d7fbf8
     0.00%     0.00%  kworker/12:1H-k  [kernel.kallsyms]         [k] __switch_to_asm
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d1263a
     0.00%     0.00%  kworker/7:1H-kb  [kernel.kallsyms]         [k] __update_blocked_fair
     0.00%     0.00%  kworker/7:1H-kb  [kernel.kallsyms]         [k] update_blocked_averages
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ca59d5
     0.00%     0.00%  kworker/28:2-mm  [kernel.kallsyms]         [k] update_min_vruntime
     0.00%     0.00%  kworker/28:2-mm  [kernel.kallsyms]         [k] reweight_entity
     0.00%     0.00%  kworker/28:2-mm  [kernel.kallsyms]         [k] update_curr
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN16Security_context23change_security_contextEP3THDP25st_mysql_const_lex_stringS3_S3_PPS_
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ca720a
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c2beb3
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c874bb
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c36687
     0.00%     0.00%  ksoftirqd/0      [kernel.kallsyms]         [k] _nohz_idle_balance.constprop.0.isra.0
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZNK12Item_func_le17func_name_cstringEv
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] ext4_inode_block_valid
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] __check_block_validity.constprop.0
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]         [k] ep_send_events
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]         [k] __x64_sys_epoll_wait
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]         [k] do_epoll_wait
     0.00%     0.00%  systemd-journal  [kernel.kallsyms]         [k] ep_poll
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000cef0b6
     0.00%     0.00%  top              [kernel.kallsyms]         [k] strncpy
     0.00%     0.00%  top              [kernel.kallsyms]         [k] __get_task_comm
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000cace11
     0.00%     0.00%  kworker/23:1-ev  [kernel.kallsyms]         [k] __free_one_page
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] sb_clear_inode_writeback
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9f8a2
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d9f8a7
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000cccc90
     0.00%     0.00%  kworker/5:0      [kernel.kallsyms]         [k] wq_worker_sleeping
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d70ec2
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9f047
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000b86790
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d0ca22
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d11342
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c43278
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c861b6
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c80620
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x00000000000252d2
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d12fee
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000da16aa
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x000000000001b130
     0.00%     0.00%  kworker/19:2-mm  [kernel.kallsyms]         [k] fput
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9f240
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] uprobe_free_utask
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] exit_mm
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] mm_release
     0.00%     0.00%  ksoftirqd/20     [kernel.kallsyms]         [k] rb_next
     0.00%     0.00%  ksoftirqd/20     [kernel.kallsyms]         [k] __schedule
     0.00%     0.00%  ksoftirqd/20     [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  ksoftirqd/20     [kernel.kallsyms]         [k] pick_next_task_fair
     0.00%     0.00%  ksoftirqd/20     [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  ksoftirqd/20     [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  ksoftirqd/20     [kernel.kallsyms]         [k] set_next_entity
     0.00%     0.00%  ksoftirqd/20     [kernel.kallsyms]         [k] smpboot_thread_fn
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ca436d
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ce2f43
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] ntp_get_next_leap
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ce3267
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9fa86
     0.00%     0.00%  kworker/29:2-mm  [kernel.kallsyms]         [k] attach_entity_load_avg
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c82be4
     0.00%     0.00%  kworker/26:4     [kernel.kallsyms]         [k] __update_idle_core
     0.00%     0.00%  kworker/26:4     [kernel.kallsyms]         [k] pick_next_task_idle
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000b8793c
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ccaf68
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d79ff7
     0.00%     0.00%  tclsh8.6         libtcl8.6.so              [.] Tcl_UtfPrev
     0.00%     0.00%  kworker/0:0      [kernel.kallsyms]         [k] kthread_is_per_cpu
     0.00%     0.00%  kworker/0:0      [kernel.kallsyms]         [k] is_cpu_allowed
     0.00%     0.00%  kworker/18:2-ev  [kernel.kallsyms]         [k] select_idle_core
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c47f5e
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c8d130
     0.00%     0.00%  gmain            [kernel.kallsyms]         [k] avc_has_perm_noaudit
     0.00%     0.00%  gmain            [kernel.kallsyms]         [k] __x64_sys_inotify_add_watch
     0.00%     0.00%  gmain            [kernel.kallsyms]         [k] do_syscall_64
     0.00%     0.00%  gmain            [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  gmain            [kernel.kallsyms]         [k] filename_lookup
     0.00%     0.00%  gmain            [kernel.kallsyms]         [k] inotify_find_inode
     0.00%     0.00%  gmain            [kernel.kallsyms]         [k] link_path_walk.part.0
     0.00%     0.00%  gmain            [kernel.kallsyms]         [k] path_lookupat
     0.00%     0.00%  gmain            [kernel.kallsyms]         [k] security_inode_permission
     0.00%     0.00%  gmain            [kernel.kallsyms]         [k] selinux_inode_permission
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d9fb77
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000dc1f85
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c49167
     0.00%     0.00%  kworker/18:1H-k  [kernel.kallsyms]         [k] __update_blocked_fair
     0.00%     0.00%  kworker/18:1H-k  [kernel.kallsyms]         [k] update_blocked_averages
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ccf854
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000cd1bcf
     0.00%     0.00%  migration/17     [kernel.kallsyms]         [k] newidle_balance
     0.00%     0.00%  migration/17     [kernel.kallsyms]         [k] __schedule
     0.00%     0.00%  migration/17     [kernel.kallsyms]         [k] balance_fair
     0.00%     0.00%  kworker/21:2     [kernel.kallsyms]         [k] native_smp_send_reschedule
     0.00%     0.00%  kworker/26:0     [kernel.kallsyms]         [k] update_cfs_rq_h_load
     0.00%     0.00%  kworker/26:0     [kernel.kallsyms]         [k] wake_affine
     0.00%     0.00%  kworker/26:0     [kernel.kallsyms]         [k] wake_affine_weight
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d61e71
     0.00%     0.00%  kworker/29:1H-k  [kernel.kallsyms]         [k] __cond_resched
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c844ef
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN12set_var_user5checkEP3THD
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c846b9
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d774bd
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d728f1
     0.00%     0.00%  rhsmcertd-worke  [kernel.kallsyms]         [k] ext4_mb_prefetch
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000a99688
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d61536
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c8ed74
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] ipv4_conntrack_in
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c80217
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c34254
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000a99735
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d8e4ac
     0.00%     0.00%  kworker/29:2-mm  [kernel.kallsyms]         [k] __wrgsbase_inactive
     0.00%     0.00%  kworker/5:1-eve  [kernel.kallsyms]         [k] _find_next_bit
     0.00%     0.00%  kworker/5:1-eve  [kernel.kallsyms]         [k] next_zone
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d0984e
     0.00%     0.00%  kworker/20:1H-k  [kernel.kallsyms]         [k] dma_pool_alloc
     0.00%     0.00%  kworker/20:1H-k  [kernel.kallsyms]         [k] nvme_pci_setup_prps
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d90c96
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]         [k] get_nohz_timer_target
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZNK21Item_func_str_to_date17func_name_cstringEv
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d12ac6
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] anon_pipe_buf_release
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c84505
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZNK23Type_handler_int_result13make_cmp_itemEP3THDPK15charset_info_st
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d06748
     0.00%     0.00%  kworker/1:1H-kb  [kernel.kallsyms]         [k] __update_blocked_others
     0.00%     0.00%  kworker/24:2-mm  [kernel.kallsyms]         [k] restore_regs_and_return_to_kernel
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d4e71b
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ef01b2
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000cacefc
     0.00%     0.00%  kworker/23:0     [kernel.kallsyms]         [k] cpumask_next_and
     0.00%     0.00%  kworker/23:0     [kernel.kallsyms]         [k] find_busiest_group
     0.00%     0.00%  kworker/23:0     [kernel.kallsyms]         [k] load_balance
     0.00%     0.00%  kworker/23:0     [kernel.kallsyms]         [k] newidle_balance
     0.00%     0.00%  kworker/23:0     [kernel.kallsyms]         [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  kworker/23:0     [kernel.kallsyms]         [k] update_sg_lb_stats
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000db7c29
     0.00%     0.00%  kworker/5:1H-kb  [kernel.kallsyms]         [k] __blk_mq_delay_run_hw_queue
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000a953b6
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000799445
     0.00%     0.00%  chronyd          [kernel.kallsyms]         [k] nvme_setup_cmd
     0.00%     0.00%  chronyd          [kernel.kallsyms]         [k] __blk_mq_try_issue_directly
