# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 484K of event 'cycles'
# Event count (approx.): 18141146334815
#
# Children      Self  Command          Shared Object             Symbol                                                                
# ........  ........  ...............  ........................  ......................................................................
#
     0.09%     0.09%  swapper          [kernel.kallsyms]         [k] acpi_processor_ffh_cstate_enter
     0.09%     0.09%  memtier_benchma  libc-2.28.so              [.] _int_free
     0.09%     0.00%  kswapd0          [kernel.kallsyms]         [k] get_swap_pages
     0.09%     0.09%  memtier_benchma  [kernel.kallsyms]         [k] __audit_syscall_entry
     0.09%     0.00%  kswapd0          [kernel.kallsyms]         [k] do_shrink_slab
     0.09%     0.00%  swapper          [kernel.kallsyms]         [k] __softirqentry_text_start
     0.09%     0.01%  memcached        [kernel.kallsyms]         [k] __pagevec_lru_add_fn
     0.09%     0.09%  memcached        memcached                 [.] 0x000000000001325d
     0.09%     0.00%  memcached        [kernel.kallsyms]         [k] xas_find
     0.09%     0.08%  kswapd0          [kernel.kallsyms]         [k] page_counter_try_charge
     0.09%     0.08%  memcached        [kernel.kallsyms]         [k] _raw_write_lock_irq
     0.09%     0.08%  memcached        [kernel.kallsyms]         [k] pfn_valid
     0.08%     0.00%  memcached        [kernel.kallsyms]         [k] rmqueue_bulk
     0.08%     0.08%  memcached        [kernel.kallsyms]         [k] cgroup_rstat_updated
     0.08%     0.06%  memcached        [kernel.kallsyms]         [k] __cond_resched
     0.08%     0.08%  memtier_benchma  libevent-2.1.so.6.0.2     [.] event_callback_activate_nolock_
     0.08%     0.00%  kswapd0          [kernel.kallsyms]         [k] shrink_slab
     0.08%     0.08%  swapper          [kernel.kallsyms]         [k] get_cpu_device
     0.08%     0.08%  memtier_benchma  [kernel.kallsyms]         [k] __put_user_nocheck_8
     0.08%     0.08%  swapper          [kernel.kallsyms]         [k] irq_work_needs_cpu
     0.08%     0.04%  swapper          [kernel.kallsyms]         [k] x86_pmu_disable_all
     0.08%     0.08%  memtier_benchma  [kernel.kallsyms]         [k] __mod_memcg_state.part.0
     0.08%     0.05%  memcached        [kernel.kallsyms]         [k] ep_done_scan
     0.08%     0.07%  memcached        [kernel.kallsyms]         [k] memset
     0.08%     0.08%  memcached        [kernel.kallsyms]         [k] xas_clear_mark
     0.08%     0.00%  kswapd0          [kernel.kallsyms]         [k] __zs_compact
     0.08%     0.00%  kswapd0          [kernel.kallsyms]         [k] zs_compact
     0.08%     0.00%  kswapd0          [kernel.kallsyms]         [k] zs_shrinker_scan
     0.08%     0.06%  memtier_benchma  [kernel.kallsyms]         [k] __update_idle_core
     0.08%     0.05%  swapper          [kernel.kallsyms]         [k] asm_sysvec_reschedule_ipi
     0.08%     0.03%  memcached        [kernel.kallsyms]         [k] add_to_swap_cache
     0.08%     0.07%  memcached        [kernel.kallsyms]         [k] seccomp_run_filters
     0.08%     0.08%  memtier_benchma  libevent-2.1.so.6.0.2     [.] evmap_io_del_
     0.08%     0.01%  memcached        [kernel.kallsyms]         [k] release_pages
     0.08%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] amd_pmu_disable_all
     0.08%     0.00%  memcached        [kernel.kallsyms]         [k] do_shrink_slab
     0.08%     0.07%  memcached        [kernel.kallsyms]         [k] unroll_tree_refs
     0.08%     0.07%  memcached        [kernel.kallsyms]         [k] zs_unmap_object
     0.08%     0.00%  memcached        [kernel.kallsyms]         [k] futex_wait
     0.08%     0.01%  memtier_benchma  [kernel.kallsyms]         [k] sched_clock_cpu
     0.07%     0.01%  memcached        [kernel.kallsyms]         [k] skb_queue_tail
     0.07%     0.07%  swapper          [kernel.kallsyms]         [k] timekeeping_max_deferment
     0.07%     0.07%  memcached        [kernel.kallsyms]         [k] xas_start
     0.07%     0.07%  memcached        [kernel.kallsyms]         [k] lru_gen_refault
     0.07%     0.04%  kswapd0          [kernel.kallsyms]         [k] page_lock_anon_vma_read
     0.07%     0.07%  memcached        libevent-2.1.so.6.0.2     [.] 0x000000000002f770
     0.07%     0.07%  memcached        libevent-2.1.so.6.0.2     [.] 0x000000000002f8a6
     0.07%     0.07%  memtier_benchma  libc-2.28.so              [.] __libc_disable_asynccancel
     0.07%     0.07%  memcached        [kernel.kallsyms]         [k] __ksize
     0.07%     0.06%  memtier_benchma  [kernel.kallsyms]         [k] newidle_balance
     0.07%     0.04%  memcached        [kernel.kallsyms]         [k] swap_cgroup_record
     0.07%     0.05%  memcached        [kernel.kallsyms]         [k] rcu_read_unlock_strict
     0.07%     0.07%  memtier_benchma  libc-2.28.so              [.] clock_gettime@GLIBC_2.2.5
     0.07%     0.01%  kswapd0          [kernel.kallsyms]         [k] migrate_zspage.constprop.0
     0.07%     0.07%  memtier_benchma  [kernel.kallsyms]         [k] syscall_exit_to_user_mode_prepare
     0.07%     0.07%  memtier_benchma  libc-2.28.so              [.] _int_malloc
     0.07%     0.06%  memcached        [kernel.kallsyms]         [k] _swap_info_get
     0.07%     0.07%  memcached        libevent-2.1.so.6.0.2     [.] evutil_gettime_monotonic_
     0.07%     0.07%  memtier_benchma  [kernel.kallsyms]         [k] native_sched_clock
     0.07%     0.07%  memtier_benchma  [kernel.kallsyms]         [k] __restore_fpregs_from_fpstate
     0.07%     0.01%  memcached        [kernel.kallsyms]         [k] do_page_add_anon_rmap
     0.07%     0.07%  memcached        [kernel.kallsyms]         [k] __restore_fpregs_from_fpstate
     0.07%     0.03%  memcached        [kernel.kallsyms]         [k] lru_gen_add_page
     0.07%     0.07%  memtier_benchma  libevent-2.1.so.6.0.2     [.] evbuffer_copyout_from
     0.07%     0.03%  kswapd0          [kernel.kallsyms]         [k] add_to_swap_cache
     0.07%     0.07%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000010d84
     0.07%     0.04%  kswapd0          [kernel.kallsyms]         [k] __delete_from_swap_cache
     0.07%     0.03%  memcached        [kernel.kallsyms]         [k] __build_skb_around
     0.07%     0.00%  memcached        [kernel.kallsyms]         [k] swap_writepage
     0.07%     0.05%  memcached        [kernel.kallsyms]         [k] __swap_count
     0.07%     0.07%  memtier_benchma  libevent-2.1.so.6.0.2     [.] evbuffer_write_atmost
     0.07%     0.01%  swapper          [kernel.kallsyms]         [k] flush_smp_call_function_from_idle
     0.07%     0.00%  memcached        [kernel.kallsyms]         [k] futex_wait_queue_me
     0.07%     0.01%  memcached        [kernel.kallsyms]         [k] sendmsg_copy_msghdr
     0.06%     0.06%  memtier_benchma  [kernel.kallsyms]         [k] mutex_unlock
     0.06%     0.02%  swapper          [kernel.kallsyms]         [k] irqtime_account_irq
     0.06%     0.06%  swapper          [kernel.kallsyms]         [k] cpuidle_not_available
     0.06%     0.01%  memtier_benchma  [kernel.kallsyms]         [k] skb_queue_tail
     0.06%     0.00%  memcached        [kernel.kallsyms]         [k] shrink_slab
     0.06%     0.06%  memcached        [kernel.kallsyms]         [k] __frontswap_load
     0.06%     0.04%  memcached        [kernel.kallsyms]         [k] x86_pmu_disable_all
     0.06%     0.06%  memcached        [kernel.kallsyms]         [k] __wrgsbase_inactive
     0.06%     0.06%  memcached        [kernel.kallsyms]         [k] __rdgsbase_inactive
     0.06%     0.04%  memtier_benchma  [kernel.kallsyms]         [k] __cond_resched
     0.06%     0.06%  memtier_benchma  libevent-2.1.so.6.0.2     [.] evutil_gettime_monotonic_
     0.06%     0.02%  memcached        [kernel.kallsyms]         [k] _copy_to_iter
     0.06%     0.06%  memcached        libc-2.28.so              [.] __memcmp_avx2_movbe
     0.06%     0.06%  memtier_benchma  [kernel.kallsyms]         [k] __ksize
     0.06%     0.06%  memcached        [kernel.kallsyms]         [k] __audit_syscall_entry
     0.06%     0.06%  memtier_benchma  [kernel.kallsyms]         [k] wait_for_unix_gc
     0.06%     0.01%  kswapd0          [kernel.kallsyms]         [k] free_unref_page_list
     0.06%     0.01%  kswapd0          [kernel.kallsyms]         [k] isolate_page
     0.06%     0.01%  kswapd0          [kernel.kallsyms]         [k] cpumask_next
     0.06%     0.06%  swapper          [kernel.kallsyms]         [k] nohz_run_idle_balance
     0.06%     0.06%  memtier_benchma  [kernel.kallsyms]         [k] cpuacct_charge
     0.06%     0.00%  kswapd0          [kernel.kallsyms]         [k] swap_writepage
     0.06%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] __build_skb_around
     0.06%     0.00%  memcached        [kernel.kallsyms]         [k] zs_compact
     0.06%     0.00%  memcached        [kernel.kallsyms]         [k] zs_shrinker_scan
     0.06%     0.06%  kswapd0          [kernel.kallsyms]         [k] mem_cgroup_id_get_online
     0.06%     0.00%  memcached        [kernel.kallsyms]         [k] __zs_compact
     0.06%     0.03%  memcached        [kernel.kallsyms]         [k] set_task_cpu
     0.06%     0.06%  memcached        [kernel.kallsyms]         [k] __put_user_nocheck_8
     0.06%     0.06%  memtier_benchma  libevent-2.1.so.6.0.2     [.] event_active_nolock_
     0.06%     0.06%  memtier_benchma  [kernel.kallsyms]         [k] __rdgsbase_inactive
     0.06%     0.06%  memcached        [kernel.kallsyms]         [k] reweight_entity
     0.06%     0.01%  swapper          [kernel.kallsyms]         [k] irq_enter_rcu
     0.06%     0.06%  memcached        [kernel.kallsyms]         [k] syscall_exit_to_user_mode_prepare
     0.06%     0.06%  memtier_benchma  libc-2.28.so              [.] __strlen_avx2
     0.06%     0.04%  memcached        [kernel.kallsyms]         [k] mem_cgroup_id_get_online
     0.06%     0.05%  memcached        [kernel.kallsyms]         [k] skb_set_owner_w
     0.06%     0.06%  memcached        libevent-2.1.so.6.0.2     [.] event_active_nolock_
     0.06%     0.05%  memcached        [kernel.kallsyms]         [k] kmalloc_slab
     0.06%     0.05%  memtier_benchma  [kernel.kallsyms]         [k] syscall_enter_from_user_mode
     0.06%     0.05%  memcached        [kernel.kallsyms]         [k] error_entry
     0.06%     0.02%  memtier_benchma  [kernel.kallsyms]         [k] set_task_cpu
     0.06%     0.01%  memcached        [kernel.kallsyms]         [k] sort_page
     0.06%     0.06%  memtier_benchma  libevent-2.1.so.6.0.2     [.] evbuffer_freeze
     0.06%     0.06%  memtier_benchma  libc-2.28.so              [.] __GI___readv
     0.05%     0.05%  memcached        [kernel.kallsyms]         [k] mutex_unlock
     0.05%     0.05%  memtier_benchma  [kernel.kallsyms]         [k] __wrgsbase_inactive
     0.05%     0.05%  memcached        libevent-2.1.so.6.0.2     [.] 0x0000000000024af0
     0.05%     0.05%  memtier_benchma  [kernel.kallsyms]         [k] switch_mm_irqs_off
     0.05%     0.05%  memtier_benchma  libc-2.28.so              [.] __GI___writev
     0.05%     0.05%  memtier_benchma  libc-2.28.so              [.] __GI___ioctl
     0.05%     0.03%  memcached        [kernel.kallsyms]         [k] __delete_from_swap_cache
     0.05%     0.05%  memcached        libevent-2.1.so.6.0.2     [.] 0x0000000000024b58
     0.05%     0.05%  memcached        memcached                 [.] 0x00000000000093c1
     0.05%     0.05%  memcached        libpthread-2.28.so        [.] __pthread_mutex_trylock
     0.05%     0.01%  swapper          [kernel.kallsyms]         [k] tick_irq_enter
     0.05%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] x86_pmu_disable_all
     0.05%     0.05%  kswapd0          [kernel.kallsyms]         [k] zs_unmap_object
     0.05%     0.05%  memcached        memcached                 [.] 0x0000000000013211
     0.05%     0.05%  swapper          [kernel.kallsyms]         [k] __update_load_avg_se
     0.05%     0.05%  memcached        memcached                 [.] 0x000000000001e9f4
     0.05%     0.05%  memcached        [kernel.kallsyms]         [k] mem_cgroup_id_put_many
     0.05%     0.02%  memtier_benchma  [kernel.kallsyms]         [k] put_prev_task_fair
     0.05%     0.04%  memtier_benchma  [kernel.kallsyms]         [k] path_put
     0.05%     0.05%  swapper          [kernel.kallsyms]         [k] pm_qos_read_value
     0.05%     0.05%  swapper          [kernel.kallsyms]         [k] rcu_nocb_flush_deferred_wakeup
     0.05%     0.05%  memcached        memcached                 [.] 0x00000000000132df
     0.05%     0.05%  memtier_benchma  libevent-2.1.so.6.0.2     [.] evbuffer_invoke_callbacks_
     0.05%     0.05%  memcached        [kernel.kallsyms]         [k] fsnotify
     0.05%     0.05%  swapper          [kernel.kallsyms]         [k] nr_iowait_cpu
     0.05%     0.05%  memcached        [kernel.kallsyms]         [k] put_prev_entity
     0.05%     0.03%  memcached        [kernel.kallsyms]         [k] __frontswap_store
     0.05%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] security_file_permission
     0.05%     0.01%  memcached        [kernel.kallsyms]         [k] asm_sysvec_call_function_single
     0.05%     0.05%  memcached        libevent-2.1.so.6.0.2     [.] 0x00000000000249d2
     0.05%     0.04%  memcached        [kernel.kallsyms]         [k] cgroup_throttle_swaprate
     0.05%     0.05%  memcached        memcached                 [.] 0x0000000000013d27
     0.05%     0.00%  swapper          [kernel.kallsyms]         [k] sched_ttwu_pending
     0.05%     0.05%  memtier_benchma  memtier_benchmark         [.] _ZN6client15handle_responseEj7timevalP7requestP17protocol_response
     0.05%     0.00%  memcached        [kernel.kallsyms]         [k] try_to_unmap_flush
     0.05%     0.05%  memcached        libevent-2.1.so.6.0.2     [.] 0x0000000000024b5f
     0.05%     0.02%  memcached        [kernel.kallsyms]         [k] wake_affine_weight
     0.05%     0.05%  kswapd0          [kernel.kallsyms]         [k] lru_gen_eviction
     0.05%     0.05%  memtier_benchma  [kernel.kallsyms]         [k] _find_next_bit
     0.05%     0.05%  memcached        memcached                 [.] 0x0000000000013243
     0.05%     0.05%  memtier_benchma  memtier_benchmark         [.] _ZN6client14create_requestE7timevalj
     0.05%     0.01%  kswapd0          [kernel.kallsyms]         [k] __mod_lruvec_page_state
     0.05%     0.05%  swapper          [kernel.kallsyms]         [k] tick_check_broadcast_expired
     0.05%     0.00%  kswapd0          [kernel.kallsyms]         [k] free_pcppages_bulk
     0.05%     0.01%  memcached        [kernel.kallsyms]         [k] free_unref_page_list
     0.05%     0.00%  swapper          [kernel.kallsyms]         [k] tick_nohz_irq_exit
     0.04%     0.04%  memcached        [kernel.kallsyms]         [k] __page_set_anon_rmap
     0.04%     0.04%  memtier_benchma  [vdso]                    [.] __vdso_gettimeofday
     0.04%     0.01%  memcached        [kernel.kallsyms]         [k] task_tick_fair
     0.04%     0.04%  memcached        [kernel.kallsyms]         [k] prepare_task_switch
     0.04%     0.00%  swapper          [kernel.kallsyms]         [k] rebalance_domains
     0.04%     0.04%  memcached        [kernel.kallsyms]         [k] _raw_read_lock
     0.04%     0.04%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f881
     0.04%     0.04%  swapper          [kernel.kallsyms]         [k] rcu_needs_cpu
     0.04%     0.00%  kswapd0          [kernel.kallsyms]         [k] cpumask_any_but
     0.04%     0.04%  memcached        libevent-2.1.so.6.0.2     [.] event_changelist_remove_all_
     0.04%     0.04%  memtier_benchma  [kernel.kallsyms]         [k] skb_set_owner_w
     0.04%     0.04%  memtier_benchma  [kernel.kallsyms]         [k] rcu_read_unlock_strict
     0.04%     0.04%  memtier_benchma  libevent-2.1.so.6.0.2     [.] bufferevent_decrement_read_buckets_
     0.04%     0.04%  memcached        [kernel.kallsyms]         [k] native_apic_mem_write
     0.04%     0.04%  memtier_benchma  libevent-2.1.so.6.0.2     [.] evbuffer_unfreeze
     0.04%     0.01%  memtier_benchma  [kernel.kallsyms]         [k] cpumask_next
     0.04%     0.04%  memcached        memcached                 [.] 0x000000000000ae72
     0.04%     0.04%  memcached        libevent-2.1.so.6.0.2     [.] 0x000000000002f8a8
     0.04%     0.04%  memcached        [kernel.kallsyms]         [k] get_swap_device
     0.04%     0.04%  memcached        libpthread-2.28.so        [.] __pthread_disable_asynccancel
     0.04%     0.01%  swapper          [kernel.kallsyms]         [k] load_balance
     0.04%     0.04%  memtier_benchma  libevent-2.1.so.6.0.2     [.] bufferevent_run_readcb_
     0.04%     0.04%  memtier_benchma  libevent-2.1.so.6.0.2     [.] bufferevent_get_read_max_
     0.04%     0.04%  memcached        [vdso]                    [.] 0x00000000000007f0
     0.04%     0.01%  memcached        [kernel.kallsyms]         [k] futex_wake
     0.04%     0.04%  memcached        [kernel.kallsyms]         [k] ___slab_alloc
     0.04%     0.03%  memcached        [kernel.kallsyms]         [k] path_put
     0.04%     0.04%  swapper          [kernel.kallsyms]         [k] amd_pmu_addr_offset
     0.04%     0.04%  memtier_benchma  [kernel.kallsyms]         [k] kmalloc_slab
     0.04%     0.04%  memcached        [kernel.kallsyms]         [k] scm_recv.constprop.0
     0.04%     0.01%  swapper          [kernel.kallsyms]         [k] amd_pmu_wait_on_overflow
     0.04%     0.03%  memcached        [kernel.kallsyms]         [k] syscall_enter_from_user_mode
     0.04%     0.04%  kswapd0          [kernel.kallsyms]         [k] memcpy
     0.04%     0.00%  memcached        [kernel.kallsyms]         [k] pagevec_lru_move_fn
     0.04%     0.02%  memcached        [kernel.kallsyms]         [k] security_file_permission
     0.04%     0.04%  memcached        [kernel.kallsyms]         [k] __list_add_valid
     0.04%     0.02%  memcached        [kernel.kallsyms]         [k] wait_for_unix_gc
     0.04%     0.04%  memcached        [kernel.kallsyms]         [k] cpuacct_charge
     0.04%     0.04%  memtier_benchma  [kernel.kallsyms]         [k] entry_SYSCALL_64_safe_stack
     0.04%     0.04%  memcached        [kernel.kallsyms]         [k] is_cpu_allowed
     0.04%     0.04%  swapper          [kernel.kallsyms]         [k] can_stop_idle_tick
     0.04%     0.04%  memtier_benchma  [kernel.kallsyms]         [k] __check_heap_object
     0.04%     0.04%  memcached        [kernel.kallsyms]         [k] __calc_delta
     0.04%     0.01%  kswapd0          [kernel.kallsyms]         [k] end_page_writeback
     0.04%     0.03%  kswapd0          [kernel.kallsyms]         [k] __frontswap_store
     0.04%     0.03%  kswapd0          [kernel.kallsyms]         [k] __free_one_page
     0.04%     0.00%  memcached        [kernel.kallsyms]         [k] __mod_lruvec_state
     0.04%     0.01%  memtier_benchma  [kernel.kallsyms]         [k] migrate_task_rq_fair
     0.04%     0.03%  memcached        [kernel.kallsyms]         [k] __mod_node_page_state
     0.04%     0.04%  memcached        memcached                 [.] 0x0000000000013254
     0.04%     0.04%  memtier_benchma  [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath.part.0
     0.04%     0.04%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000001eddf
     0.04%     0.03%  kswapd0          [kernel.kallsyms]         [k] xas_create
     0.04%     0.00%  memcached        [kernel.kallsyms]         [k] activate_page
     0.04%     0.04%  memtier_benchma  [kernel.kallsyms]         [k] __calc_delta
     0.04%     0.04%  swapper          [kernel.kallsyms]         [k] switch_ldt
     0.04%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] check_stack_object
     0.04%     0.04%  memcached        [kernel.kallsyms]         [k] lru_gen_eviction
     0.04%     0.01%  memtier_benchma  [kernel.kallsyms]         [k] wake_affine_weight
     0.04%     0.04%  memtier_benchma  [kernel.kallsyms]         [k] update_irq_load_avg
     0.04%     0.04%  memcached        libevent-2.1.so.6.0.2     [.] 0x000000000001fa41
     0.03%     0.02%  memcached        [kernel.kallsyms]         [k] cpumask_next_wrap
     0.03%     0.00%  swapper          [kernel.kallsyms]         [k] rcu_sched_clock_irq
     0.03%     0.03%  memcached        memcached                 [.] 0x000000000000b654
     0.03%     0.03%  memtier_benchma  memtier_benchmark         [.] _ZN9run_stats14roll_cur_statsEP7timeval
     0.03%     0.00%  memcached        [kernel.kallsyms]         [k] sysvec_call_function_single
     0.03%     0.00%  memcached        [kernel.kallsyms]         [k] import_iovec
     0.03%     0.00%  memcached        [kernel.kallsyms]         [k] get_swap_pages
     0.03%     0.03%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000010bf5
     0.03%     0.00%  kswapd0          [kernel.kallsyms]         [k] try_to_unmap_flush
     0.03%     0.02%  memtier_benchma  [kernel.kallsyms]         [k] sock_recvmsg
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] reweight_entity
     0.03%     0.03%  memtier_benchma  libevent-2.1.so.6.0.2     [.] evbuffer_expand_fast_
     0.03%     0.03%  memcached        libevent-2.1.so.6.0.2     [.] 0x0000000000020491
     0.03%     0.01%  kswapd0          [kernel.kallsyms]         [k] lru_gen_update_size
     0.03%     0.03%  kswapd0          [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.03%     0.03%  memtier_benchma  libevent-2.1.so.6.0.2     [.] bufferevent_decrement_write_buckets_
     0.03%     0.00%  memcached        [kernel.kallsyms]         [k] isolate_page
     0.03%     0.03%  memcached        libpthread-2.28.so        [.] __pthread_mutex_unlock
     0.03%     0.03%  swapper          [kernel.kallsyms]         [k] sched_idle_set_state
     0.03%     0.03%  memtier_benchma  libevent-2.1.so.6.0.2     [.] bufferevent_decref_and_unlock_
     0.03%     0.00%  memcached        [kernel.kallsyms]         [k] __import_iovec
     0.03%     0.03%  kswapd0          [kernel.kallsyms]         [k] down_read_trylock
     0.03%     0.00%  kswapd0          [kernel.kallsyms]         [k] __test_set_page_writeback
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] is_cpu_allowed
     0.03%     0.00%  swapper          [kernel.kallsyms]         [k] ttwu_do_activate
     0.03%     0.00%  swapper          [kernel.kallsyms]         [k] rcu_pending
     0.03%     0.00%  memcached        [kernel.kallsyms]         [k] wake_up_q
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] __list_del_entry_valid
     0.03%     0.03%  memcached        [kernel.kallsyms]         [k] _raw_read_unlock_irqrestore
     0.03%     0.01%  memcached        [kernel.kallsyms]         [k] migrate_task_rq_fair
     0.03%     0.01%  memtier_benchma  [kernel.kallsyms]         [k] sysvec_reschedule_ipi
     0.03%     0.03%  memcached        [kernel.kallsyms]         [k] update_min_vruntime
     0.03%     0.01%  memcached        [kernel.kallsyms]         [k] sysvec_reschedule_ipi
     0.03%     0.01%  swapper          [kernel.kallsyms]         [k] enqueue_task_fair
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] prepare_task_switch
     0.03%     0.00%  memcached        [kernel.kallsyms]         [k] __sysvec_call_function_single
     0.03%     0.03%  memtier_benchma  libc-2.28.so              [.] __libc_enable_asynccancel
     0.03%     0.00%  memcached        [kernel.kallsyms]         [k] mem_cgroup_uncharge_list
     0.03%     0.03%  memtier_benchma  memtier_benchmark         [.] _ZN16shard_connection13fill_pipelineEv
     0.03%     0.00%  memcached        [kernel.kallsyms]         [k] end_page_writeback
     0.03%     0.01%  kswapd0          [kernel.kallsyms]         [k] swap_cgroup_record
     0.03%     0.01%  memcached        [kernel.kallsyms]         [k] amd_pmu_wait_on_overflow
     0.03%     0.03%  memcached        [kernel.kallsyms]         [k] amd_pmu_addr_offset
     0.03%     0.03%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x00000000000113e9
     0.03%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] __fdget_pos
     0.03%     0.00%  memcached        [kernel.kallsyms]         [k] get_shadow_from_swap_cache
     0.03%     0.03%  memtier_benchma  libevent-2.1.so.6.0.2     [.] evbuffer_remove
     0.03%     0.00%  swapper          [kernel.kallsyms]         [k] find_busiest_group
     0.03%     0.00%  swapper          [kernel.kallsyms]         [k] update_blocked_averages
     0.03%     0.03%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f792
     0.03%     0.00%  memcached        [kernel.kallsyms]         [k] _copy_from_user
     0.03%     0.03%  swapper          [kernel.kallsyms]         [k] check_cpu_stall
     0.03%     0.00%  kswapd0          [kernel.kallsyms]         [k] test_clear_page_writeback
     0.03%     0.03%  swapper          [kernel.kallsyms]         [k] rb_erase
     0.03%     0.03%  memcached        [kernel.kallsyms]         [k] entry_SYSCALL_64_safe_stack
     0.03%     0.02%  memcached        [kernel.kallsyms]         [k] handle_pte_fault
     0.03%     0.03%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x000000000002f330
     0.03%     0.00%  memcached        [kernel.kallsyms]         [k] __softirqentry_text_start
     0.03%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] __irq_exit_rcu
     0.03%     0.01%  kswapd0          [kernel.kallsyms]         [k] xas_store
     0.03%     0.01%  kswapd0          [kernel.kallsyms]         [k] __mod_lruvec_state
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] cgroup_rstat_updated
     0.03%     0.03%  memcached        [kernel.kallsyms]         [k] obj_free
     0.03%     0.00%  swapper          [kernel.kallsyms]         [k] asm_sysvec_call_function_single
     0.03%     0.01%  memtier_benchma  [kernel.kallsyms]         [k] cpumask_next_wrap
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] put_prev_entity
     0.03%     0.00%  swapper          [kernel.kallsyms]         [k] run_rebalance_domains
     0.03%     0.03%  memcached        [kernel.kallsyms]         [k] __lock_text_start
     0.03%     0.03%  memcached        memcached                 [.] 0x0000000000015b76
     0.03%     0.02%  kswapd0          [kernel.kallsyms]         [k] __mod_memcg_lruvec_state
     0.03%     0.01%  swapper          [kernel.kallsyms]         [k] update_sd_lb_stats.constprop.0
     0.03%     0.03%  memtier_benchma  libevent-2.1.so.6.0.2     [.] 0x0000000000024b58
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] scm_recv.constprop.0
     0.03%     0.00%  memcached        [kernel.kallsyms]         [k] page_remove_rmap
     0.03%     0.00%  memcached        [kernel.kallsyms]         [k] mem_cgroup_charge
     0.03%     0.01%  kswapd0          [kernel.kallsyms]         [k] scan_swap_map_slots
     0.03%     0.00%  swapper          [kernel.kallsyms]         [k] arch_cpu_idle_enter
     0.03%     0.03%  memcached        [kernel.kallsyms]         [k] update_cfs_rq_h_load
     0.03%     0.03%  memtier_benchma  libevent-2.1.so.6.0.2     [.] bufferevent_incref_and_lock_
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] __list_add_valid
     0.03%     0.03%  memcached        memcached                 [.] 0x0000000000004c04
     0.03%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] maybe_add_creds
     0.03%     0.02%  memcached        [kernel.kallsyms]         [k] __radix_tree_lookup
     0.03%     0.02%  swapper          [kernel.kallsyms]         [k] ktime_get_update_offsets_now
     0.03%     0.01%  memcached        [kernel.kallsyms]         [k] xa_load
     0.03%     0.03%  memcached        memcached                 [.] 0x0000000000014820
     0.03%     0.00%  memcached        [kernel.kallsyms]         [k] rcu_sched_clock_irq
     0.03%     0.00%  kswapd0          [kernel.kallsyms]         [k] _raw_spin_lock_irq
     0.03%     0.02%  memcached        [kernel.kallsyms]         [k] populate_seccomp_data
     0.03%     0.02%  memcached        [kernel.kallsyms]         [k] __secure_computing
     0.03%     0.03%  kswapd0          [kernel.kallsyms]         [k] __mod_node_page_state
     0.03%     0.03%  memcached        memcached                 [.] 0x0000000000008477
     0.03%     0.03%  memcached        libc-2.28.so              [.] __libc_disable_asynccancel
     0.03%     0.03%  memcached        memcached                 [.] 0x00000000000163e4
     0.03%     0.03%  memtier_benchma  libc-2.28.so              [.] __memmove_avx_unaligned
     0.03%     0.00%  memcached        [kernel.kallsyms]         [k] test_clear_page_writeback
     0.02%     0.00%  memcached        [kernel.kallsyms]         [k] iovec_from_user
     0.02%     0.01%  memtier_benchma  [kernel.kallsyms]         [k] amd_pmu_wait_on_overflow
     0.02%     0.02%  memtier_benchma  libevent-2.1.so.6.0.2     [.] evbuffer_read_setup_vecs_
     0.02%     0.02%  memcached        [vdso]                    [.] 0x00000000000008fe
     0.02%     0.00%  memcached        [kernel.kallsyms]         [k] uncharge_batch
     0.02%     0.00%  memtier_benchma  [kernel.kallsyms]         [k] __softirqentry_text_start
     0.02%     0.02%  kswapd0          [kernel.kallsyms]         [k] page_mapping
     0.02%     0.02%  memcached        memcached                 [.] 0x000000000000b3a1
     0.02%     0.00%  kswapd0          [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
